Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Bachelor's degree,3,13. Education,"13.01. Education, general",56600.00,200
Bachelor's degree,3,13. Education,"13.02. Bilingual, multilingual and multicultural education",61900.00,20
Bachelor's degree,3,13. Education,"13.12. Teacher education and professional development, specific levels and methods",61100.00,4510
Bachelor's degree,3,13. Education,"13.13. Teacher education and professional development, specific subject areas",63100.00,2830
Bachelor's degree,3,14. Engineering,14.05. Bioengineering and biomedical engineering,89800.00,60
Bachelor's degree,3,14. Engineering,14.07. Chemical engineering,96600.00,700
Bachelor's degree,3,14. Engineering,14.08. Civil engineering,78300.00,780
Bachelor's degree,3,14. Engineering,14.09. Computer engineering,68600.00,250
Bachelor's degree,3,14. Engineering,"14.10. Electrical, electronics and communications engineering",81900.00,680
Bachelor's degree,3,14. Engineering,14.12. Engineering physics/applied physics,52800.00,40
Bachelor's degree,3,14. Engineering,14.14. Environmental/environmental health engineering,78900.00,110
Bachelor's degree,3,14. Engineering,14.18. Materials engineering,87500.00,130
Bachelor's degree,3,14. Engineering,14.19. Mechanical engineering,90300.00,1130
Bachelor's degree,3,14. Engineering,14.21. Mining and mineral engineering,112700.00,110
Bachelor's degree,3,14. Engineering,14.25. Petroleum engineering,109800.00,230
Bachelor's degree,3,14. Engineering,14.38. Surveying engineering,73600.00,130
Bachelor's degree,3,15. Engineering technologies and engineering-related fields,15.15. Engineering-related fields,78700.00,110
Bachelor's degree,3,"16. Aboriginal and foreign languages, literatures and linguistics","16.01. Linguistic, comparative and related language studies and services",36300.00,100
Bachelor's degree,3,"16. Aboriginal and foreign languages, literatures and linguistics","16.09. Romance languages, literatures and linguistics",37700.00,40
Bachelor's degree,3,"16. Aboriginal and foreign languages, literatures and linguistics","16.12. Classics and classical languages, literatures and linguistics",42400.00,40
Bachelor's degree,3,19. Family and consumer sciences/human sciences,"19.05. Foods, nutrition and related services",47300.00,90
Bachelor's degree,3,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",47800.00,230
Bachelor's degree,3,22. Legal professions and studies,"22.99. Legal professions and studies, other",48700.00,80
Bachelor's degree,3,23. English language and literature/letters,"23.01. English language and literature, general",40500.00,720
Bachelor's degree,3,23. English language and literature/letters,23.13. English rhetoric and composition/writing studies,52300.00,140
Bachelor's degree,3,"24. Liberal arts and sciences, general studies and humanities","24.01. Liberal arts and sciences, general studies and humanities",49700.00,920
Bachelor's degree,3,26. Biological and biomedical sciences,"26.01. Biology, general",47300.00,950
Bachelor's degree,3,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,52800.00,50
Bachelor's degree,3,26. Biological and biomedical sciences,26.04. Cell/cellular biology and anatomical sciences,48600.00,70
Bachelor's degree,3,26. Biological and biomedical sciences,26.05. Microbiological sciences and immunology,45600.00,50
Bachelor's degree,3,26. Biological and biomedical sciences,26.07. Zoology/animal biology,35900.00,90
Bachelor's degree,3,26. Biological and biomedical sciences,"26.13. Ecology, evolution, systematics and population biology",54800.00,200
Bachelor's degree,3,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,38600.00,40
Bachelor's degree,3,27. Mathematics and statistics,27.01. Mathematics,50000.00,120
Bachelor's degree,3,30. Multidisciplinary/interdisciplinary studies,30.17. Behavioural sciences,39600.00,50
Bachelor's degree,3,30. Multidisciplinary/interdisciplinary studies,30.18. Natural sciences,47700.00,90
Bachelor's degree,3,30. Multidisciplinary/interdisciplinary studies,30.19. Nutrition sciences,75800.00,180
Bachelor's degree,3,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other",48300.00,40
Bachelor's degree,3,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,48200.00,880
Bachelor's degree,3,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics",40600.00,110
Bachelor's degree,3,40. Physical sciences,"40.01. Physical sciences, general",55600.00,30
Bachelor's degree,3,40. Physical sciences,40.05. Chemistry,54700.00,190
Bachelor's degree,3,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,70600.00,660
Bachelor's degree,3,40. Physical sciences,40.08. Physics,50300.00,70
Bachelor's degree,3,42. Psychology,"42.01. Psychology, general",44800.00,1750
Bachelor's degree,3,42. Psychology,"42.28. Clinical, counselling and applied psychology",70800.00,60
Bachelor's degree,3,43. Security and protective services,43.01. Criminal justice and corrections,59400.00,300
Bachelor's degree,3,43. Security and protective services,"43.99. Security and protective services, other",124100.00,90
Bachelor's degree,3,44. Public administration and social service professions,"44.00. Human services, general",57600.00,120
Bachelor's degree,3,44. Public administration and social service professions,44.07. Social work,55200.00,610
Bachelor's degree,3,45. Social sciences,"45.01. Social sciences, general",41800.00,60
Bachelor's degree,3,45. Social sciences,45.02. Anthropology,42200.00,280
Bachelor's degree,3,45. Social sciences,45.03. Archaeology,39400.00,100
Bachelor's degree,3,45. Social sciences,45.04. Criminology,57400.00,220
Bachelor's degree,3,45. Social sciences,45.06. Economics,56300.00,690
Bachelor's degree,3,45. Social sciences,45.07. Geography and cartography,58300.00,260
Bachelor's degree,3,45. Social sciences,45.09. International relations and national security studies,48600.00,140
Bachelor's degree,3,45. Social sciences,45.10. Political science and government,47700.00,640
Bachelor's degree,3,45. Social sciences,45.11. Sociology,48800.00,710
Bachelor's degree,3,45. Social sciences,45.12. Urban studies/affairs,58900.00,100
Bachelor's degree,3,50. Visual and performing arts,"50.01. Visual, digital and performing arts, general",42800.00,40
Bachelor's degree,3,50. Visual and performing arts,50.03. Dance,24400.00,20
Bachelor's degree,3,50. Visual and performing arts,50.04. Design and applied arts,40500.00,420
Bachelor's degree,3,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,33700.00,210
Bachelor's degree,3,50. Visual and performing arts,50.06. Film/video and photographic arts,30000.00,100
Bachelor's degree,3,50. Visual and performing arts,50.07. Fine arts and art studies,33900.00,570
Bachelor's degree,3,50. Visual and performing arts,50.09. Music,37800.00,130
Bachelor's degree,3,51. Health professions and related programs,"51.00. Health services/allied health/health sciences, general",51500.00,30
Bachelor's degree,3,51. Health professions and related programs,51.06. Dental support services and allied professions,82700.00,130
Bachelor's degree,3,51. Health professions and related programs,51.10. Clinical/medical laboratory science/research and allied professions,76500.00,80
Bachelor's degree,3,51. Health professions and related programs,51.15. Mental and social health services and allied professions,52700.00,110
Bachelor's degree,3,51. Health professions and related programs,51.22. Public health,61700.00,100
Bachelor's degree,3,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",77600.00,6500
Bachelor's degree,3,"52. Business, management, marketing and related support services","52.01. Business/commerce, general",66900.00,2210
Bachelor's degree,3,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",58400.00,2360
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.03. Accounting and related services,65800.00,2750
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.06. Business/managerial economics,55800.00,150
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,53800.00,60
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,66400.00,800
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,46600.00,50
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.10. Human resources management and services,62900.00,660
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,60000.00,370
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.13. Management sciences and quantitative methods,60600.00,110
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.14. Marketing,56800.00,650
Bachelor's degree,3,54. History,54.01. History,44700.00,520
Bachelor's degree,3,55. French language and literature/lettersCAN,"55.01. French language and literature, generalCAN",51700.00,80
Professional bachelor's degree,3,22. Legal professions and studies,"22.01. Law (LLB, JD, BCL)",93100.00,970
Professional bachelor's degree,3,51. Health professions and related programs,"51.04. Dentistry (DDS, DMD)",6700.00,80
Professional bachelor's degree,3,51. Health professions and related programs,51.12. Medicine (MD),69400.00,190
Professional bachelor's degree,3,51. Health professions and related programs,"51.20. Pharmacy, pharmaceutical sciences and administration",106900.00,460
Professional bachelor's degree,3,51. Health professions and related programs,51.24. Veterinary medicine (DVM),84300.00,40
Master's degree,3,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",58700.00,50
Master's degree,3,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,79700.00,20
Master's degree,3,03. Natural resources and conservation,03.01. Natural resources conservation and research,74700.00,80
Master's degree,3,04. Architecture and related services,"04.02. Architecture (BArch, BA, BS, BSc, MArch, MA, MS, MSc, PhD)",58100.00,140
Master's degree,3,04. Architecture and related services,"04.03. City/urban, community and regional planning",71900.00,50
Master's degree,3,04. Architecture and related services,04.04. Environmental design/architecture,67400.00,30
Master's degree,3,"09. Communication, journalism and related programs",09.01. Communication and media studies,96100.00,30
Master's degree,3,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",92700.00,110
Master's degree,3,11. Computer and information sciences and support services,11.07. Computer science,79800.00,70
Master's degree,3,13. Education,"13.01. Education, general",101700.00,310
Master's degree,3,13. Education,13.04. Educational administration and supervision,100400.00,150
Master's degree,3,13. Education,13.05. Educational/instructional media design,83000.00,110
Master's degree,3,13. Education,"13.06. Educational assessment, evaluation and research",97400.00,500
Master's degree,3,13. Education,"13.12. Teacher education and professional development, specific levels and methods",86900.00,170
Master's degree,3,14. Engineering,14.07. Chemical engineering,98900.00,110
Master's degree,3,14. Engineering,14.08. Civil engineering,88600.00,370
Master's degree,3,14. Engineering,"14.10. Electrical, electronics and communications engineering",81300.00,220
Master's degree,3,14. Engineering,14.18. Materials engineering,92700.00,50
Master's degree,3,14. Engineering,14.19. Mechanical engineering,97100.00,220
Master's degree,3,"16. Aboriginal and foreign languages, literatures and linguistics","16.01. Linguistic, comparative and related language studies and services",31400.00,20
Master's degree,3,22. Legal professions and studies,22.02. Legal research and advanced professional studies (post-LLB/JD),99600.00,30
Master's degree,3,23. English language and literature/letters,"23.01. English language and literature, general",41600.00,50
Master's degree,3,25. Library science,25.01. Library science and administration,58100.00,160
Master's degree,3,26. Biological and biomedical sciences,"26.01. Biology, general",60200.00,130
Master's degree,3,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,53500.00,30
Master's degree,3,26. Biological and biomedical sciences,26.12. Biotechnology,49000.00,20
Master's degree,3,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,30900.00,20
Master's degree,3,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,67300.00,70
Master's degree,3,40. Physical sciences,40.05. Chemistry,60700.00,40
Master's degree,3,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,88600.00,130
Master's degree,3,42. Psychology,"42.01. Psychology, general",61700.00,60
Master's degree,3,42. Psychology,"42.28. Clinical, counselling and applied psychology",66900.00,420
Master's degree,3,44. Public administration and social service professions,44.07. Social work,74400.00,420
Master's degree,3,45. Social sciences,45.06. Economics,84500.00,60
Master's degree,3,45. Social sciences,45.07. Geography and cartography,62900.00,40
Master's degree,3,45. Social sciences,45.10. Political science and government,66800.00,50
Master's degree,3,45. Social sciences,45.11. Sociology,62900.00,40
Master's degree,3,50. Visual and performing arts,50.04. Design and applied arts,44100.00,30
Master's degree,3,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,45200.00,20
Master's degree,3,51. Health professions and related programs,51.02. Communication disorders sciences and services,72800.00,140
Master's degree,3,51. Health professions and related programs,"51.14. Medical scientist (MS, MSc, PhD)",55100.00,90
Master's degree,3,51. Health professions and related programs,51.22. Public health,74900.00,220
Master's degree,3,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,73000.00,540
Master's degree,3,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",94200.00,920
Master's degree,3,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",114500.00,1530
Master's degree,3,"52. Business, management, marketing and related support services",52.10. Human resources management and services,79600.00,60
Master's degree,3,54. History,54.01. History,46200.00,40
Doctoral degree,3,03. Natural resources and conservation,03.01. Natural resources conservation and research,75100.00,30
Doctoral degree,3,11. Computer and information sciences and support services,11.07. Computer science,70200.00,60
Doctoral degree,3,13. Education,"13.01. Education, general",99900.00,40
Doctoral degree,3,13. Education,"13.06. Educational assessment, evaluation and research",94900.00,40
Doctoral degree,3,13. Education,"13.12. Teacher education and professional development, specific levels and methods",91700.00,40
Doctoral degree,3,14. Engineering,14.07. Chemical engineering,125900.00,20
Doctoral degree,3,14. Engineering,14.08. Civil engineering,97700.00,110
Doctoral degree,3,14. Engineering,"14.10. Electrical, electronics and communications engineering",80100.00,130
Doctoral degree,3,14. Engineering,14.18. Materials engineering,91000.00,60
Doctoral degree,3,14. Engineering,14.19. Mechanical engineering,75600.00,40
Doctoral degree,3,"16. Aboriginal and foreign languages, literatures and linguistics","16.01. Linguistic, comparative and related language studies and services",33000.00,40
Doctoral degree,3,23. English language and literature/letters,"23.01. English language and literature, general",54300.00,30
Doctoral degree,3,26. Biological and biomedical sciences,"26.01. Biology, general",47800.00,90
Doctoral degree,3,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,36000.00,40
Doctoral degree,3,26. Biological and biomedical sciences,"26.09. Physiology, pathology and related sciences",57000.00,30
Doctoral degree,3,27. Mathematics and statistics,27.05. Statistics,78600.00,30
Doctoral degree,3,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,72700.00,40
Doctoral degree,3,40. Physical sciences,40.02. Astronomy and astrophysics,71400.00,30
Doctoral degree,3,40. Physical sciences,40.05. Chemistry,55600.00,150
Doctoral degree,3,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,74900.00,40
Doctoral degree,3,40. Physical sciences,40.08. Physics,20900.00,30
Doctoral degree,3,42. Psychology,"42.01. Psychology, general",75900.00,30
Doctoral degree,3,42. Psychology,"42.28. Clinical, counselling and applied psychology",79400.00,40
Doctoral degree,3,45. Social sciences,45.11. Sociology,78800.00,30
Doctoral degree,3,51. Health professions and related programs,"51.14. Medical scientist (MS, MSc, PhD)",61500.00,80
Doctoral degree,3,51. Health professions and related programs,51.22. Public health,93700.00,30
Doctoral degree,3,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",103600.00,50
Certificate,4,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,32700.00,20
Certificate,4,"01. Agriculture, agriculture operations and related sciences",01.02. Agricultural mechanization,39100.00,80
Certificate,4,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,31100.00,50
Certificate,4,10. Communications technologies/technicians and support services,10.03. Graphic communications,35600.00,90
Certificate,4,11. Computer and information sciences and support services,11.02. Computer programming,63200.00,20
Certificate,4,11. Computer and information sciences and support services,11.08. Computer software and media applications,44000.00,90
Certificate,4,11. Computer and information sciences and support services,11.09. Computer systems networking and telecommunications,50000.00,80
Certificate,4,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,52000.00,170
Certificate,4,12. Personal and culinary services,12.03. Funeral service and mortuary science,52000.00,20
Certificate,4,12. Personal and culinary services,12.04. Cosmetology and related personal grooming services,21600.00,50
Certificate,4,12. Personal and culinary services,12.05. Culinary arts and related services,33000.00,300
Certificate,4,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,67300.00,170
Certificate,4,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,54800.00,160
Certificate,4,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,87700.00,90
Certificate,4,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,54400.00,80
Certificate,4,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,56400.00,70
Certificate,4,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,56700.00,100
Certificate,4,"16. Aboriginal and foreign languages, literatures and linguistics",16.16. Sign language,36400.00,20
Certificate,4,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",21600.00,510
Certificate,4,22. Legal professions and studies,22.03. Legal support services,43100.00,70
Certificate,4,"24. Liberal arts and sciences, general studies and humanities","24.01. Liberal arts and sciences, general studies and humanities",43900.00,30
Certificate,4,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,41900.00,90
Certificate,4,43. Security and protective services,43.01. Criminal justice and corrections,48800.00,70
Certificate,4,43. Security and protective services,43.02. Fire protection,64800.00,640
Certificate,4,43. Security and protective services,"43.99. Security and protective services, other",58500.00,80
Certificate,4,46. Construction trades,"46.00. Construction trades, general",59500.00,20
Certificate,4,46. Construction trades,46.02. Carpentry/carpenter,42800.00,110
Certificate,4,46. Construction trades,46.03. Electrical and power transmission installers,50900.00,290
Certificate,4,46. Construction trades,"46.04. Building/construction finishing, management and inspection",27300.00,40
Certificate,4,46. Construction trades,46.05. Plumbing and related water supply services,45700.00,110
Certificate,4,47. Mechanic and repair technologies/technicians,47.03. Heavy/industrial equipment maintenance technologies,68600.00,240
Certificate,4,47. Mechanic and repair technologies/technicians,47.05. Stationary energy sources installer and operatorCAN,99700.00,1010
Certificate,4,47. Mechanic and repair technologies/technicians,47.06. Vehicle maintenance and repair technologies,46700.00,560
Certificate,4,48. Precision production,48.05. Precision metal working,43700.00,240
Certificate,4,48. Precision production,48.07. Woodworking,43700.00,170
Certificate,4,49. Transportation and materials moving,49.02. Ground transportation,42300.00,220
Certificate,4,50. Visual and performing arts,50.04. Design and applied arts,28100.00,80
Certificate,4,51. Health professions and related programs,51.06. Dental support services and allied professions,47600.00,410
Certificate,4,51. Health professions and related programs,51.07. Health and medical administrative services,38700.00,1520
Certificate,4,51. Health professions and related programs,51.08. Allied health and medical assisting services,43500.00,2570
Certificate,4,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions",46600.00,250
Certificate,4,51. Health professions and related programs,51.15. Mental and social health services and allied professions,38100.00,60
Certificate,4,51. Health professions and related programs,51.18. Ophthalmic and optometric support services and allied professions,58200.00,100
Certificate,4,51. Health professions and related programs,51.26. Health aides/attendants/orderlies,36400.00,3580
Certificate,4,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",82000.00,310
Certificate,4,51. Health professions and related programs,"51.39. Practical nursing, vocational nursing and nursing assistants",58300.00,60
Certificate,4,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",42400.00,240
Certificate,4,"52. Business, management, marketing and related support services",52.03. Accounting and related services,48000.00,540
Certificate,4,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,38000.00,1320
Certificate,4,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,33500.00,50
Certificate,4,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,34300.00,50
Certificate,4,"52. Business, management, marketing and related support services",52.10. Human resources management and services,51000.00,270
Certificate,4,"52. Business, management, marketing and related support services",52.14. Marketing,33700.00,30
Certificate,4,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations",35900.00,90
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,50100.00,70
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,41800.00,110
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.05. Agricultural and domestic animal services,29400.00,40
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,45100.00,140
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,41700.00,70
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,35900.00,40
Diploma,4,03. Natural resources and conservation,03.01. Natural resources conservation and research,48300.00,210
Diploma,4,03. Natural resources and conservation,03.02. Natural resources management and policy,43400.00,280
Diploma,4,03. Natural resources and conservation,03.05. Forestry,63800.00,80
Diploma,4,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,44900.00,30
Diploma,4,04. Architecture and related services,"04.06. Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",55400.00,70
Diploma,4,04. Architecture and related services,04.09. Architectural sciences and technology,53600.00,590
Diploma,4,"09. Communication, journalism and related programs",09.04. Journalism,37300.00,280
Diploma,4,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication",44700.00,500
Diploma,4,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication",56200.00,170
Diploma,4,10. Communications technologies/technicians and support services,10.01. Communications technology/technician,43100.00,130
Diploma,4,10. Communications technologies/technicians and support services,10.02. Audiovisual communications technologies/technicians,40400.00,150
Diploma,4,10. Communications technologies/technicians and support services,10.03. Graphic communications,38000.00,190
Diploma,4,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",46700.00,90
Diploma,4,11. Computer and information sciences and support services,11.08. Computer software and media applications,46400.00,140
Diploma,4,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,61600.00,120
Diploma,4,12. Personal and culinary services,12.05. Culinary arts and related services,35600.00,570
Diploma,4,13. Education,13.10. Special education and teaching,78100.00,20
Diploma,4,13. Education,13.15. Teaching assistants/aides,21500.00,40
Diploma,4,15. Engineering technologies and engineering-related fields,15.02. Civil engineering technology/technician,68800.00,430
Diploma,4,15. Engineering technologies and engineering-related fields,15.03. Electrical and electronic engineering technologies/technicians,73900.00,590
Diploma,4,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,81500.00,630
Diploma,4,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,54500.00,200
Diploma,4,15. Engineering technologies and engineering-related fields,15.06. Industrial production technologies/technicians,85400.00,60
Diploma,4,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,77500.00,120
Diploma,4,15. Engineering technologies and engineering-related fields,15.08. Mechanical engineering related technologies/technicians,65700.00,380
Diploma,4,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,79700.00,410
Diploma,4,15. Engineering technologies and engineering-related fields,15.10. Construction engineering technology/technician,77500.00,210
Diploma,4,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,65100.00,150
Diploma,4,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,58600.00,530
Diploma,4,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,58800.00,440
Diploma,4,15. Engineering technologies and engineering-related fields,"15.99. Engineering technologies and engineering-related fields, other",71000.00,260
Diploma,4,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",34900.00,640
Diploma,4,22. Legal professions and studies,22.03. Legal support services,45200.00,590
Diploma,4,23. English language and literature/letters,23.13. English rhetoric and composition/writing studies,42400.00,60
Diploma,4,"24. Liberal arts and sciences, general studies and humanities","24.01. Liberal arts and sciences, general studies and humanities",31700.00,130
Diploma,4,25. Library science,25.03. Library and archives assisting,36100.00,90
Diploma,4,25. Library science,"25.99. Library science, other",44700.00,80
Diploma,4,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies",30000.00,30
Diploma,4,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,42200.00,260
Diploma,4,41. Science technologies/technicians,41.01. Biology technician/biotechnology laboratory technician,42100.00,50
Diploma,4,41. Science technologies/technicians,41.03. Physical science technologies/technicians,55700.00,220
Diploma,4,43. Security and protective services,43.01. Criminal justice and corrections,51100.00,950
Diploma,4,43. Security and protective services,43.02. Fire protection,91100.00,40
Diploma,4,47. Mechanic and repair technologies/technicians,47.03. Heavy/industrial equipment maintenance technologies,95200.00,100
Diploma,4,47. Mechanic and repair technologies/technicians,47.05. Stationary energy sources installer and operatorCAN,170000.00,300
Diploma,4,47. Mechanic and repair technologies/technicians,47.06. Vehicle maintenance and repair technologies,54200.00,400
Diploma,4,48. Precision production,48.05. Precision metal working,81900.00,70
Diploma,4,48. Precision production,48.08. Boilermaking/boilermaker,132500.00,170
Diploma,4,49. Transportation and materials moving,49.01. Air transportation,45600.00,60
Diploma,4,50. Visual and performing arts,50.04. Design and applied arts,40900.00,520
Diploma,4,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,33700.00,140
Diploma,4,50. Visual and performing arts,50.06. Film/video and photographic arts,38200.00,80
Diploma,4,50. Visual and performing arts,50.07. Fine arts and art studies,30900.00,50
Diploma,4,50. Visual and performing arts,50.09. Music,33100.00,90
Diploma,4,51. Health professions and related programs,51.02. Communication disorders sciences and services,58400.00,170
Diploma,4,51. Health professions and related programs,51.06. Dental support services and allied professions,46800.00,160
Diploma,4,51. Health professions and related programs,51.07. Health and medical administrative services,64300.00,50
Diploma,4,51. Health professions and related programs,51.08. Allied health and medical assisting services,41000.00,900
Diploma,4,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions",80900.00,1100
Diploma,4,51. Health professions and related programs,51.10. Clinical/medical laboratory science/research and allied professions,71800.00,380
Diploma,4,51. Health professions and related programs,51.15. Mental and social health services and allied professions,33600.00,140
Diploma,4,51. Health professions and related programs,51.18. Ophthalmic and optometric support services and allied professions,44800.00,440
Diploma,4,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,42400.00,30
Diploma,4,51. Health professions and related programs,51.33. Alternative and complementary medicine and medical systems,34800.00,80
Diploma,4,51. Health professions and related programs,51.35. Somatic bodywork and related therapeutic services,23400.00,100
Diploma,4,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing",75900.00,290
Diploma,4,51. Health professions and related programs,"51.39. Practical nursing, vocational nursing and nursing assistants",44600.00,2560
Diploma,4,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",46100.00,1160
Diploma,4,"52. Business, management, marketing and related support services",52.03. Accounting and related services,42800.00,1720
Diploma,4,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,45400.00,260
Diploma,4,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,49000.00,480
Diploma,4,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,39200.00,400
Diploma,4,"52. Business, management, marketing and related support services",52.10. Human resources management and services,52000.00,410
Diploma,4,"52. Business, management, marketing and related support services",52.14. Marketing,48100.00,690
Diploma,4,"52. Business, management, marketing and related support services",52.15. Real estate,68800.00,30
Diploma,4,"52. Business, management, marketing and related support services",52.17. Insurance,56300.00,100
Diploma,4,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations",37700.00,200
Diploma,4,"52. Business, management, marketing and related support services",52.20. Construction management,67500.00,110
Diploma,4,"52. Business, management, marketing and related support services","52.99. Business, management, marketing and related support services, other",59700.00,100
Bachelor's degree,4,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",71900.00,50
Bachelor's degree,4,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,56500.00,50
Bachelor's degree,4,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,51800.00,30
Bachelor's degree,4,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,54700.00,50
Bachelor's degree,4,03. Natural resources and conservation,03.01. Natural resources conservation and research,61600.00,270
Bachelor's degree,4,03. Natural resources and conservation,03.02. Natural resources management and policy,67800.00,250
Bachelor's degree,4,"05. Area, ethnic, cultural, gender, and group studies",05.01. Area studies,37700.00,50
Bachelor's degree,4,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies",45200.00,100
Bachelor's degree,4,"09. Communication, journalism and related programs",09.01. Communication and media studies,56700.00,470
Bachelor's degree,4,"09. Communication, journalism and related programs",09.04. Journalism,49800.00,110
Bachelor's degree,4,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication",42500.00,20
